id,text,label
it_487,@USER Tutto quello che dici e sono pure ricchione. Bella sis.,1
it_549,RT @USER: tanto prima o poi trovate il ricchione sbagliato che vi crepa di mazzate e vorrei tanto essere io,1
it_1596,"BUONGIORNO AMICI BUON MESE DELLA FROCIAGGINE, LESBAGGINE, BISESSUALISMO,  TRANSGENDERESIMO QUEER E TUTTO IL RESTO CIAO VI AMK",1
it_406,@USER @USER Oggi avrò di che parlare coi colleghi.. un etero analfabeta che conquista l attenzione di una checca alfabetizzata 😎 mi raccomando vai a fare la quarta dose che forse ti aiuta a dimenticarmi. Ciao,1
it_465,DEVO RANTARE VADO SULL’ALTRO PROFILO PER I THAI E I FROCI @USER seguitemi per leggere i miei tweet da disperata senza dignità ok,1
it_1490,"@USER Cambiare l'8*1000, destinandolo ai froci e chiamarlo ROTTO PER MILLE",1
it_1784,la tipa del banco dei salumi della coop di opera che si complimenta per la mia felpa lei lo sa che sono forcio e che da ora in avanti potrà vendermi qualsiasi cosa a qualsiasi prezzo .,1
it_1806,"Carlotta: “i finocchi mi fanno sentire a casa”
Tommaso: “AMORE, ANCHE A ME”✈️✈️✈️ #gfvip #tommasozorzi",1
it_1585,Che Libreria Adelphi sia chiusa nel weekend è un affronto a noi ricchione lavoratrici,1
it_726,i viaggi ricchioni URL,1
it_913,"qui siamo tutti dolci e immacolati, certo piero adesso vado ad un gay pride e urlo froci a tutti poi mi scuso perché avevo bevuto 2 birre. ma chi dovrei essere? gesù cristo?",0
it_338,"Guarda guarda chi si rivede. Ascolta amo, da persona trans appartengo al pride quanto te. Forse anche un poco di più perché non sono terf dimmerda come voi mandria di trans exclusionaries ✨",0
it_524,"Prima che le haters mi inizino a dire eH mA qUeStA è OmOfObIa, volevo comunicarvi che frocia lo sono pure io
#circozzi",0
it_895,"E' ricchione, quindi è sano di mente.
Dico così per paura che mi accusino di ricchionifobia...(io di quelli come me non ho paura non sono omofobo,  i ricchioni non sono come me, per dire io non mangio palle e non lo predo in culo e non ho paura di loro se sono vestito e vigile).",0
it_100,"una donna trans che si PERMETTE di chiamarsi lesbica ma cristo di un dio vi sentite quando parlate 
io al pride manco voi ci vorrei vedete un po'",0
it_1354,"Pride (pacifico, inclusivo, colorato)
Tg:
Froci nudi per le strade e vogliono anche diritti

Calcio (vandalismo, insulti, violenze)
Tg:
😍😍⚽😍⚽⚽❤️⚽❤️⚽😍🥰🥰🥰",0
it_653,"Caro #Zan,quando froci, ricchioni, pederasti e lesbiche impareranno a rispettare i diritti altrui io smetterò di chiamarli così e prenderò in considerazione che la vostra legge non sia un crimine per le libertà altrui. Fino ad allora
#noddlzan URL",0
it_1081,"@USER @USER @USER si sa che voi LGBT (froci non si può dire) ragionate col culo, ma giá 4 AN(N)I fa c'era coglioni che manifestavano al Bologna in mascherina? URL",0
it_494,"un leghista denuncia un* transessuale per l'uso della parola frocio, vince la causa e la comunità lgbt esulta
questa storia è sbagliata su così tanti livelli che non so dove cominciare",0
it_986,"@USER Tu sei LA vergogna, frocio culattone finocchio tranvione anormale pro lgbt plus extra radical chic e terrone. FECCIA, vai a LAVORARE",0
